Adams	296	30	8	5	10	28	42	284	219	14	77.11267605633803	17.95774647887324	4.929577464788732
Asotin	246	67	2	7	13	33	45	268	188	25	70.1492537313433	20.522388059701495	9.328358208955224
Benton	2413	445	12	13	75	184	337	2521	1947	290	77.23125743752479	11.265370884569617	11.503371677905593
Chelan	1074	147	18	17	48	124	122	1099	787	105	71.6105550500455	18.835304822565966	9.554140127388536
Clallam	1419	348	37	135	187	227	222	1545	696	263	45.04854368932038	37.92880258899676	17.022653721682847
Clark	6097	1124	22	62	152	413	1138	6083	4856	578	79.82903172776591	10.669077757685352	9.501890514548743
Columbia	36	13	0	0	1	0	23	26	24	1	92.3076923076923	3.8461538461538463	3.8461538461538463
Cowlitz	1392	201	4	13	44	87	278	1315	1051	116	79.92395437262357	11.254752851711027	8.821292775665398
Douglas	541	71	10	7	12	63	56	556	416	48	74.82014388489209	16.546762589928058	8.633093525179856
Ferry	71	14	2	1	1	9	23	62	45	4	72.58064516129032	20.967741935483872	6.451612903225806
Franklin	1165	182	23	22	33	93	141	1206	869	166	72.0563847429519	14.17910447761194	13.764510779436154
Garfield	26	5	0	0	0	2	5	26	24	0	92.3076923076923	7.6923076923076925	0.0
Grant	1251	281	20	32	61	117	187	1345	978	137	72.71375464684014	17.100371747211895	10.185873605947956
Grays Harbor	815	104	5	13	32	77	118	801	537	137	67.04119850187266	15.85518102372035	17.10362047440699
Island	651	143	7	6	12	37	160	634	505	67	79.65299684542587	9.779179810725552	10.56782334384858
Jefferson	226	53	1	4	7	15	43	236	177	32	75.0	11.440677966101696	13.559322033898304
King	19502	3416	182	202	456	1329	2714	20204	15673	2362	77.57374777271828	10.735497921203722	11.690754306078006
Kitsap	2954	494	12	16	48	159	498	2950	2382	333	80.74576271186442	7.966101694915253	11.288135593220339
Kittitas	368	55	6	4	13	42	44	379	286	28	75.46174142480211	17.150395778364118	7.387862796833773
Klickitat	247	154	2	25	7	17	116	285	214	20	75.08771929824562	17.894736842105264	7.017543859649122
Lewis	1040	169	5	14	43	117	156	1053	746	128	70.84520417853751	16.999050332383668	12.155745489078823
Lincoln	146	26	2	2	6	5	31	141	120	6	85.1063829787234	10.638297872340425	4.25531914893617
Mason	590	84	5	11	10	44	98	576	419	87	72.74305555555556	12.152777777777777	15.104166666666666
Okanogan	515	133	13	12	27	57	116	532	368	55	69.17293233082707	20.48872180451128	10.338345864661653
Pacific	309	64	4	5	42	31	79	294	189	23	64.28571428571429	27.89115646258503	7.8231292517006805
Pend Oreille	119	46	1	1	3	5	28	137	121	6	88.32116788321169	7.2992700729927	4.37956204379562
Pierce	9402	1627	81	125	323	726	1862	9167	6963	949	75.95723791862115	13.690411257772444	10.352350823606415
San Juan	134	35	3	2	45	1	25	144	83	10	57.638888888888886	35.41666666666667	6.944444444444445
Skagit	1571	212	11	32	64	181	268	1515	1046	181	69.04290429042904	19.00990099009901	11.947194719471947
Skamania	109	27	6	16	4	7	32	104	61	10	58.65384615384615	31.73076923076923	9.615384615384617
Snohomish	8465	1096	52	78	187	508	1354	8207	6335	1047	77.19020348483002	10.05239429755087	12.757402217619104
Spokane	5577	839	41	64	169	302	805	5611	4535	500	80.82338264124041	10.265549812867581	8.911067545891997
Stevens	582	175	8	20	51	80	154	603	376	68	62.35489220563848	26.368159203980102	11.276948590381426
Thurston	3032	524	8	19	81	292	596	2960	2298	262	77.63513513513513	13.513513513513514	8.85135135135135
Wahkiakum	39	11	1	1	0	3	12	38	30	3	78.94736842105263	13.157894736842104	7.894736842105263
Walla Walla	700	201	2	10	9	54	181	720	557	88	77.36111111111111	10.416666666666668	12.222222222222221
Whatcom	2103	267	17	41	64	146	317	2053	1571	214	76.52216268874817	13.054067218704335	10.423770092547493
Whitman	325	55	0	2	4	9	63	317	273	29	86.1198738170347	4.73186119873817	9.14826498422713
Yakima	3413	715	58	67	173	367	597	3531	2510	356	71.08467856131408	18.83319173038799	10.082129708297932
