All Students	78385	12738	610	1104	2288	5668	12567	78556	60680	8206	77.24425887265136	12.30968990274454	10.446051224604105
American Indian	1318	219	22	48	100	177	234	1303	700	256	53.72217958557176	26.630851880276285	19.646968534151956
Asian/Pacific Islanders	6319	1388	47	64	100	277	1036	6671	5626	557	84.33518213161445	7.315245090691051	8.3495727776945
Asian	5695	1161	37	52	74	199	848	6008	5198	448	86.51797603195739	6.025299600532623	7.456724367509987
Pacific Islanders	624	227	10	12	26	78	188	663	428	109	64.5550527903469	19.004524886877828	16.440422322775262
Black	3713	900	48	61	121	339	851	3762	2551	642	67.80967570441254	15.124933545986178	17.065390749601274
Hispanic	13188	2842	153	275	559	1412	2458	13572	9133	2040	67.29295608605953	17.676097848511642	15.030946065428823
White	49540	6794	317	603	1249	3129	7344	48990	39458	4234	80.5429679526434	10.814451928965095	8.642580118391509
Two or More Races	4304	590	23	53	159	331	639	4255	3212	477	75.48766157461809	13.301997649823738	11.210340775558167
Special Ed	9494	1117	69	177	411	1005	1459	9152	5097	2393	55.69274475524476	18.159965034965033	26.147290209790206
Bilingual	3691	1584	97	130	218	577	932	4343	2332	989	53.695602118351374	23.53212065392586	22.772277227722775
Low Income	39761	6103	339	785	1735	4345	6357	39507	26216	6087	66.35786063229301	18.23474321006404	15.40739615764295
Title I Migrant	1868	426	14	45	101	239	289	2005	1276	330	63.64089775561097	19.900249376558605	16.458852867830423
504	3816	265	19	24	104	293	380	3701	2767	494	74.76357741151041	11.888678735476898	13.3477438530127
Homeless	2903	852	24	73	185	661	757	2998	1381	674	46.064042695130084	31.454302868579052	22.48165443629086
Foster Care	798	108	7	21	78	146	164	742	308	182	41.509433962264154	33.9622641509434	24.528301886792452
Female	38330	6111	284	501	948	2311	5960	38481	31188	3249	81.04778981835192	10.509082404303422	8.443127777344664
Male	40055	6627	326	603	1340	3357	6607	40075	29492	4957	73.59201497192764	14.038677479725514	12.36930754834685
